query_id,Recall@5,Recall@10,RR@10,nDCG@10
q_000001,0.500000,1.000000,1.000000,0.817530
q_000002,0.333333,0.333333,1.000000,0.469279
q_000003,0.200000,0.400000,1.000000,0.459972
q_000004,1.000000,1.000000,1.000000,1.000000
q_000005,0.500000,0.500000,1.000000,0.613147
q_000006,0.500000,1.000000,1.000000,0.831555
q_000007,1.000000,1.000000,1.000000,1.000000
q_000008,0.000000,0.000000,0.000000,0.000000
q_000009,0.666667,1.000000,1.000000,0.838547
q_000010,1.000000,1.000000,1.000000,0.877215
q_000011,1.000000,1.000000,1.000000,0.967468
q_000012,0.666667,0.666667,1.000000,0.765361
q_000013,0.000000,0.666667,0.142857,0.292078
q_000014,0.500000,0.500000,1.000000,0.613147
q_000015,0.333333,0.666667,0.333333,0.370291
q_000016,0.500000,0.500000,1.000000,0.613147
q_000017,0.333333,0.666667,1.000000,0.604931
q_000018,0.500000,0.500000,1.000000,0.613147
q_000019,0.500000,0.500000,1.000000,0.613147
q_000020,0.000000,1.000000,0.166667,0.411834
q_000021,1.000000,1.000000,1.000000,0.946902
q_000022,0.500000,0.500000,0.333333,0.306574
q_000023,0.500000,0.500000,1.000000,0.541400
q_000024,0.000000,0.500000,0.142857,0.204382
q_000025,1.000000,1.000000,1.000000,0.906025
q_000026,0.500000,0.500000,0.500000,0.386853
q_000027,0.000000,0.500000,0.100000,0.177239
q_000028,1.000000,1.000000,1.000000,1.000000
q_000029,0.666667,1.000000,1.000000,0.871079
q_000030,1.000000,1.000000,1.000000,0.919721
q_000031,0.500000,0.500000,1.000000,0.613147
q_000032,1.000000,1.000000,1.000000,1.000000
q_000033,0.500000,0.500000,0.250000,0.264068
q_000034,1.000000,1.000000,1.000000,1.000000
q_000035,0.500000,0.500000,0.250000,0.319147
q_000036,0.500000,1.000000,1.000000,0.806574
q_000037,1.000000,1.000000,1.000000,1.000000
q_000038,0.500000,0.500000,1.000000,0.613147
q_000039,1.000000,1.000000,1.000000,1.000000
q_000040,0.500000,0.500000,1.000000,0.613147
q_000041,0.666667,1.000000,1.000000,0.932521
q_000042,0.500000,0.500000,0.200000,0.237198
q_000043,0.500000,0.500000,1.000000,0.613147
q_000044,0.500000,0.500000,0.500000,0.386853
q_000045,0.666667,0.666667,1.000000,0.650821
q_000046,0.250000,0.500000,1.000000,0.529436
q_000047,0.666667,0.666667,1.000000,0.671386
q_000048,0.500000,0.500000,1.000000,0.613147
q_000049,0.000000,1.000000,0.142857,0.381622
q_000050,1.000000,1.000000,1.000000,1.000000
q_000051,0.666667,0.666667,1.000000,0.650821
q_000052,0.500000,0.500000,0.500000,0.386853
q_000053,0.500000,0.500000,0.200000,0.237198
q_000054,0.000000,0.500000,0.111111,0.184576
q_000055,0.500000,0.500000,0.500000,0.441492
q_000056,0.500000,0.500000,1.000000,0.585570
q_000057,1.000000,1.000000,1.000000,0.850345
q_000058,1.000000,1.000000,0.500000,0.650921
q_000059,0.500000,0.500000,0.500000,0.386853
q_000060,0.000000,0.500000,0.166667,0.218407
q_000061,0.333333,0.333333,1.000000,0.469279
q_000062,0.333333,0.333333,0.200000,0.181542
q_000063,1.000000,1.000000,1.000000,0.850345
q_000064,0.333333,0.666667,0.333333,0.401800
q_000065,1.000000,1.000000,1.000000,0.919721
q_000066,0.333333,0.333333,0.333333,0.234639
q_000067,0.500000,1.000000,0.500000,0.571429
q_000068,1.000000,1.000000,1.000000,0.919721
q_000069,0.000000,0.500000,0.111111,0.184576
q_000070,0.000000,1.000000,0.125000,0.370666
q_000071,0.000000,0.500000,0.142857,0.204382
q_000072,0.500000,0.500000,1.000000,0.613147
q_000073,0.500000,1.000000,1.000000,0.831555
q_000074,0.500000,0.500000,0.500000,0.386853
q_000075,0.666667,0.666667,1.000000,0.650821
q_000076,0.500000,0.500000,1.000000,0.636682
q_000077,0.500000,0.500000,1.000000,0.613147
q_000078,0.666667,0.666667,1.000000,0.765361
q_000079,1.000000,1.000000,1.000000,1.000000
q_000080,0.500000,0.500000,1.000000,0.613147
q_000081,0.500000,0.500000,1.000000,0.613147
q_000082,1.000000,1.000000,1.000000,1.000000
q_000083,0.666667,0.666667,1.000000,0.765361
q_000084,1.000000,1.000000,1.000000,1.000000
q_000085,1.000000,1.000000,1.000000,0.885460
q_000086,1.000000,1.000000,1.000000,0.919721
q_000087,0.500000,0.500000,1.000000,0.613147
q_000088,1.000000,1.000000,1.000000,0.919721
q_000089,0.500000,1.000000,0.500000,0.580279
q_000090,1.000000,1.000000,1.000000,1.000000
q_000091,1.000000,1.000000,1.000000,1.000000
q_000092,0.333333,0.333333,1.000000,0.469279
q_000093,0.250000,0.750000,1.000000,0.633352
q_000094,0.500000,0.500000,1.000000,0.613147
q_000095,0.250000,0.750000,0.333333,0.438162
q_000096,0.500000,0.500000,1.000000,0.613147
q_000097,0.500000,0.500000,1.000000,0.613147
q_000098,1.000000,1.000000,1.000000,1.000000
q_000099,0.666667,1.000000,1.000000,0.932521
q_000100,0.500000,1.000000,1.000000,0.797723
